API,Tempo (ms),Tamanho (bytes)
REST,24.270057678222656,89
REST,4.470348358154297,89
REST,3.6649703979492188,89
REST,3.7114620208740234,89
REST,4.708766937255859,89
REST,3.8254261016845703,89
REST,3.7000179290771484,89
REST,3.5386085510253906,89
REST,4.128217697143555,89
REST,4.145622253417969,89
REST,3.8492679595947266,89
REST,3.0946731567382812,89
REST,3.4453868865966797,89
REST,3.3919811248779297,89
REST,3.315448760986328,89
REST,3.1723976135253906,89
REST,3.1588077545166016,89
REST,3.381967544555664,89
REST,3.573894500732422,89
REST,3.079652786254883,89
REST,3.0126571655273438,89
REST,2.9082298278808594,89
REST,2.7256011962890625,89
REST,2.9625892639160156,89
REST,3.0455589294433594,89
REST,2.652406692504883,89
REST,2.575397491455078,89
REST,2.4030208587646484,89
REST,3.1163692474365234,89
REST,3.062725067138672,89
GraphQL,26.079177856445312,132
GraphQL,6.521701812744141,132
GraphQL,5.691766738891602,132
GraphQL,4.807710647583008,132
GraphQL,4.894256591796875,132
GraphQL,5.421161651611328,132
GraphQL,5.550861358642578,132
GraphQL,5.101680755615234,132
GraphQL,6.894111633300781,132
GraphQL,5.5694580078125,132
GraphQL,4.08625602722168,132
GraphQL,4.973411560058594,132
GraphQL,4.75764274597168,132
GraphQL,4.462718963623047,132
GraphQL,4.483699798583984,132
GraphQL,4.129886627197266,132
GraphQL,3.955364227294922,132
GraphQL,3.760814666748047,132
GraphQL,3.843069076538086,132
GraphQL,4.293203353881836,132
GraphQL,4.096269607543945,132
GraphQL,3.9472579956054688,132
GraphQL,4.673242568969727,132
GraphQL,4.10008430480957,132
GraphQL,4.347801208496094,132
GraphQL,3.8220882415771484,132
GraphQL,3.367185592651367,132
GraphQL,3.582000732421875,132
GraphQL,3.471851348876953,132
GraphQL,3.412008285522461,132
